Player,Team,Pos,Pos2,Age,Matches ,Starts,Min,Min per match,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G per 90,A per 90,G+A,xG,npxG,xA,xG,xA,xG+xA
Phil Foden,Manchester City,FW,,21,28,24,"2,128",76,9,5,9,0,0,1,0,0.38,0.21,0.59,9.1,9.1,6.6,0.38,0.28,0.66
Raheem Sterling,Manchester City,FW,,26,30,23,"2,128",70,13,5,11,2,3,1,0,0.55,0.21,0.76,14.4,12,4.6,0.61,0.2,0.81
Jack Grealish,Manchester City,FW,,25,26,22,"1,914",73,3,3,3,0,0,3,0,0.14,0.14,0.28,4.8,4.8,6.3,0.22,0.3,0.52
Gabriel Jesus,Manchester City,FW,,24,28,21,"1,877",67,8,8,7,1,1,1,0,0.38,0.38,0.77,10.1,9.4,5.4,0.49,0.26,0.74
lkay Gündogan,Manchester City,MF,,30,27,20,"1,857",68,8,4,8,0,0,1,0,0.39,0.19,0.58,8.6,8.6,4.2,0.42,0.2,0.62
Kyle Walker,Manchester City,DF,,31,20,20,"1,755",87,0,2,0,0,0,1,0,0,0.1,0.1,0.3,0.3,1.2,0.01,0.06,0.07
Riyad Mahrez,Manchester City,FW,,30,28,15,"1,498",53,11,5,7,4,5,0,0,0.66,0.3,0.96,10.1,6.3,3.7,0.61,0.22,0.83
John Stones,Manchester City,DF,,27,14,12,"1,119",79,1,0,1,0,0,0,0,0.08,0,0.08,1,1,0.1,0.08,0.01,0.09
Oleksandr Zinchenko,Manchester City,DF,,24,15,10,"1,047",69,0,4,0,0,0,0,0,0,0.34,0.34,0.4,0.4,2,0.04,0.18,0.21
Fernandinho,Manchester City,MF,DF,36,19,10,964,50,2,1,2,0,0,1,0,0.19,0.09,0.28,1.6,1.6,0.9,0.15,0.08,0.24
Nathan Aké,Manchester City,DF,,26,14,10,923,65,2,0,2,0,0,0,0,0.2,0,0.2,1.1,1.1,0.5,0.11,0.05,0.16
Ferrán Torres,Manchester City,FW,,21,4,4,303,75,2,1,2,0,0,0,0,0.59,0.3,0.89,2.5,2.5,0,0.74,0.01,0.75
Cole Palmer,Manchester City,FW,MF,19,4,1,123,30,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.23,0.17,0.39
Zack Steffen,Manchester City,GK,,26,1,1,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin Mendy,Manchester City,DF,,27,1,1,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0.3
James Mcatee,Manchester City,MF,FW,18,2,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.19
Liam Delap,Manchester City,FW,,18,1,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kayky Chagas,Manchester City,FW,,18,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJ Egan-Riley,Manchester City,DF,,18,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Carson,Manchester City,GK,,35,0,0,,,,,,,,,,,,,,,,,,
Thomas Doyle,Manchester City,MF,,19,0,0,,,,,,,,,,,,,,,,,,
Samuel Edozie,Manchester City,FW,,18,0,0,,,,,,,,,,,,,,,,,,
Roméo Lavia,Manchester City,MF,,17,0,0,,,,,,,,,,,,,,,,,,
Luke Mbete-Tatu,Manchester City,DF,,20,0,0,,,,,,,,,,,,,,,,,,
Cieran Slicker,Manchester City,GK,,18,0,0,,,,,,,,,,,,,,,,,,
Josh Wilson-Esbrand,Manchester City,DF,,18,0,0,,,,,,,,,,,,,,,,,,
David de Gea,Manchester United,GK,,30,38,38,"3,420",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Fernandes,Manchester United,MF,,26,36,35,"3,111",86,10,6,10,0,2,10,0,0.29,0.17,0.46,9.7,8.2,8.4,0.28,0.24,0.53
Harry Maguire,Manchester United,DF,,28,30,28,"2,515",83,1,0,1,0,0,9,1,0.04,0,0.04,1.7,1.7,0.2,0.06,0.01,0.07
Scott McTominay,Manchester United,MF,,24,30,28,"2,387",79,1,1,1,0,0,9,0,0.04,0.04,0.08,1.5,1.5,1.8,0.06,0.07,0.12
Cristiano Ronaldo,Manchester United,FW,,36,30,27,"2,456",81,18,3,15,3,3,8,0,0.66,0.11,0.77,16.5,14.2,3.1,0.61,0.11,0.72
Victor Lindelöf,Manchester United,DF,,27,28,26,"2,355",84,0,2,0,0,0,4,0,0,0.08,0.08,0.3,0.3,0.5,0.01,0.02,0.03
Fred,Manchester United,MF,,28,28,24,"2,028",72,4,4,4,0,0,5,0,0.18,0.18,0.36,1.5,1.5,2,0.07,0.09,0.15
Jadon Sancho,Manchester United,FW,MF,21,29,20,"1,900",65,3,3,3,0,0,0,0,0.14,0.14,0.28,3.3,3.3,4.2,0.16,0.2,0.36
Raphaël Varane,Manchester United,DF,,28,22,20,"1,831",83,1,1,1,0,0,0,0,0.05,0.05,0.1,0.8,0.8,0.2,0.04,0.01,0.05
Aaron Wan-Bissaka,Manchester United,DF,,23,20,20,"1,793",89,0,0,0,0,0,2,0,0,0,0,0.2,0.2,0.9,0.01,0.05,0.06
Diogo Dalot,Manchester United,DF,,22,24,19,"1,801",75,0,0,0,0,0,4,0,0,0,0,0.7,0.7,1,0.03,0.05,0.08
Luke Shaw,Manchester United,DF,,26,20,19,"1,601",80,0,3,0,0,0,8,0,0,0.17,0.17,0.2,0.2,3.2,0.01,0.18,0.19
Alex Telles,Manchester United,DF,,28,21,18,"1,660",79,0,4,0,0,0,1,0,0,0.22,0.22,0.5,0.5,2,0.03,0.11,0.13
Nemanja Mati?,Manchester United,MF,,32,23,16,"1,382",60,0,4,0,0,0,3,0,0,0.26,0.26,0.2,0.2,1.8,0.01,0.12,0.13
Paul Pogba,Manchester United,MF,FW,28,20,16,"1,349",67,1,9,1,0,0,7,1,0.07,0.6,0.67,2.4,2.4,3.5,0.16,0.24,0.4
Mason Greenwood,Manchester United,FW,MF,19,18,16,"1,271",70,5,1,5,0,0,1,0,0.35,0.07,0.42,4.4,4.4,1.6,0.31,0.11,0.42
Anthony Elanga,Manchester United,FW,,19,21,14,"1,214",57,2,2,2,0,0,0,0,0.15,0.15,0.3,3,3,1.8,0.22,0.14,0.35
Marcus Rashford,Manchester United,FW,MF,23,25,13,"1,235",49,4,2,4,0,0,2,0,0.29,0.15,0.44,2.4,2.4,2,0.18,0.14,0.32
Edinson Cavani,Manchester United,FW,,34,15,7,766,51,2,1,2,0,0,0,0,0.23,0.12,0.35,3.4,3.4,1.4,0.39,0.16,0.55
Eric Bailly,Manchester United,DF,,27,4,3,217,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jesse Lingard,Manchester United,FW,MF,28,16,2,367,22,2,0,2,0,0,1,0,0.49,0,0.49,0.7,0.7,0.4,0.17,0.1,0.26
Juan Mata,Manchester United,MF,,33,7,2,235,33,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.11,0.06,0.17
Anthony Martial,Manchester United,FW,,25,8,2,212,26,1,0,1,0,0,0,0,0.42,0,0.42,0.4,0.4,0.1,0.19,0.06,0.25
Phil Jones,Manchester United,DF,,29,4,2,163,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01
Daniel James,Manchester United,FW,,23,2,2,126,63,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.17,0.01,0.19
Hannibal Mejbri,Manchester United,FW,,18,2,1,68,34,0,0,0,0,0,2,0,0,0,0,0.1,0.1,0,0.12,0,0.12
Donny van de Beek,Manchester United,MF,,24,8,0,75,9,1,0,1,0,0,0,0,1.2,0,1.2,0.7,0.7,0.5,0.88,0.58,1.46
Shola Shoretire,Manchester United,FW,,17,1,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alejandro Garnacho,Manchester United,FW,,17,2,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amad Diallo,Manchester United,FW,,19,0,0,,,,,,,,,,,,,,,,,,
Álvaro Fernández,Manchester United,DF,,18,0,0,,,,,,,,,,,,,,,,,,
Tom Heaton,Manchester United,GK,,35,0,0,,,,,,,,,,,,,,,,,,
Dean Henderson,Manchester United,GK,,24,0,0,,,,,,,,,,,,,,,,,,
Andreas Pereira,Manchester United,MF,,25,0,0,,,,,,,,,,,,,,,,,,
Charlie Savage,Manchester United,MF,,18,0,0,,,,,,,,,,,,,,,,,,
Brandon Williams,Manchester United,DF,,20,0,0,,,,,,,,,,,,,,,,,,
Allan Saint-Maximin,Newcastle United,FW,MF,24,35,31,"2,804",80,5,5,5,0,0,6,0,0.16,0.16,0.32,5.1,5.1,5.8,0.16,0.19,0.35
Joelinton,Newcastle United,MF,FW,24,35,30,"2,558",73,4,1,4,0,0,8,0,0.14,0.04,0.18,4.1,4.1,1.8,0.15,0.06,0.21
Martin Dúbravka,Newcastle United,GK,,32,26,26,"2,340",90,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,0
Fabian Schär,Newcastle United,DF,,29,25,25,"2,158",86,2,2,2,0,0,4,0,0.08,0.08,0.17,1.3,1.3,0.6,0.06,0.03,0.08
Joe Willock,Newcastle United,MF,,21,29,24,"2,038",70,2,0,2,0,0,0,0,0.09,0,0.09,3.6,3.6,1.2,0.16,0.05,0.21
Jamaal Lascelles,Newcastle United,DF,,27,26,22,"2,058",79,1,0,1,0,0,5,0,0.04,0,0.04,1.1,1.1,0.3,0.05,0.01,0.06
Jonjo Shelvey,Newcastle United,MF,,29,24,22,"1,983",82,2,1,2,0,0,7,1,0.09,0.05,0.14,0.9,0.9,0.8,0.04,0.04,0.08
Miguel Almirón,Newcastle United,MF,FW,27,30,19,"1,716",57,1,0,1,0,0,2,0,0.05,0,0.05,2.1,2.1,0.7,0.11,0.03,0.14
Emil Krafth,Newcastle United,DF,,26,20,18,"1,634",81,0,1,0,0,0,5,0,0,0.06,0.06,0.2,0.2,0.8,0.01,0.04,0.06
Ryan Fraser,Newcastle United,FW,MF,27,27,18,"1,465",54,2,3,2,0,0,3,0,0.12,0.18,0.31,2.8,2.8,2.2,0.17,0.14,0.31
Dan Burn,Newcastle United,DF,,29,16,16,"1,440",90,0,1,0,0,0,4,0,0,0.06,0.06,0.5,0.5,0.1,0.03,0.01,0.04
Matt Targett,Newcastle United,DF,,25,16,16,"1,440",90,0,0,0,0,0,1,0,0,0,0,0.3,0.3,1.6,0.02,0.1,0.12
Callum Wilson,Newcastle United,FW,,29,18,16,"1,386",77,8,0,6,2,2,4,0,0.52,0,0.52,6.5,5,0.6,0.42,0.04,0.46
Sean Longstaff,Newcastle United,MF,,23,24,15,"1,464",61,1,1,1,0,0,1,0,0.06,0.06,0.12,1.2,1.2,0.7,0.07,0.04,0.12
Chris Wood,Newcastle United,FW,,29,17,15,"1,327",78,2,0,1,1,1,0,0,0.14,0,0.14,2.9,2.1,1,0.19,0.07,0.26
Javier Manquillo,Newcastle United,DF,,27,19,15,"1,257",66,1,2,1,0,0,5,0,0.07,0.14,0.21,0.5,0.5,0.3,0.03,0.02,0.06
Matt Ritchie,Newcastle United,DF,,31,18,14,"1,337",74,0,2,0,0,0,5,0,0,0.13,0.13,0.4,0.4,1.6,0.03,0.11,0.14
Jacob Murphy,Newcastle United,FW,DF,26,33,13,"1,473",44,1,2,1,0,0,4,0,0.06,0.12,0.18,2.9,2.9,2.1,0.18,0.13,0.31
Ciaran Clark,Newcastle United,DF,,31,13,12,"1,014",78,0,1,0,0,0,2,1,0,0.09,0.09,0.8,0.8,0.3,0.07,0.03,0.1
Isaac Hayden,Newcastle United,MF,DF,26,14,12,"1,002",71,1,0,1,0,0,5,0,0.09,0,0.09,0.4,0.4,0.1,0.04,0.01,0.05
Bruno Guimarães,Newcastle United,MF,,23,17,11,"1,034",60,5,1,5,0,0,4,0,0.44,0.09,0.52,2.9,2.9,1.8,0.25,0.16,0.41
Karl Darlow,Newcastle United,GK,,30,8,8,720,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Federico Fernández,Newcastle United,DF,,32,7,5,523,74,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.07,0.06,0.13
Kieran Trippier,Newcastle United,DF,,30,6,5,429,71,2,0,2,0,0,0,0,0.42,0,0.42,0.1,0.1,0.4,0.03,0.09,0.12
Freddie Woodman,Newcastle United,GK,,24,4,4,360,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamal Lewis,Newcastle United,DF,,23,5,4,262,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01,0.01
Paul Dummett,Newcastle United,DF,,29,3,2,198,66,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Jeff Hendrick,Newcastle United,MF,,29,3,0,72,24,1,0,1,0,0,0,0,1.25,0,1.25,0,0,0,0.04,0.06,0.1
Dwight Gayle,Newcastle United,FW,,30,8,0,38,4,0,0,0,0,0,1,0,0,0,0,0.3,0.3,0.5,0.71,1.19,1.89
Elliot Anderson,Newcastle United,MF,,18,0,0,,,,,,,,,,,,,,,,,,
Lucas De Bolle,Newcastle United,MF,,18,0,0,,,,,,,,,,,,,,,,,,
Mark Gillespie,Newcastle United,GK,,29,0,0,,,,,,,,,,,,,,,,,,
Joe White,Newcastle United,MF,,18,0,0,,,,,,,,,,,,,,,,,,
Teemu Pukki,Norwich City,FW,,31,37,37,"3,253",87,11,3,8,3,3,4,0,0.3,0.08,0.39,11.5,9.2,2.8,0.32,0.08,0.4
Grant Hanley,Norwich City,DF,,29,33,33,"2,897",87,1,0,1,0,0,2,0,0.03,0,0.03,1.9,1.9,0.3,0.06,0.01,0.07
Max Aarons,Norwich City,DF,,21,34,32,"2,881",84,0,2,0,0,0,8,0,0,0.06,0.06,0.7,0.7,1.4,0.02,0.04,0.07
Kenny McLean,Norwich City,MF,,29,31,29,"2,706",87,1,0,1,0,0,3,0,0.03,0,0.03,1.9,1.9,0.7,0.06,0.02,0.09
Tim Krul,Norwich City,GK,,33,29,29,"2,610",90,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0,0.01,0.01
Ben Gibson,Norwich City,DF,,28,28,28,"2,494",89,0,0,0,0,0,5,1,0,0,0,1.2,1.2,0,0.04,0,0.04
Pierre Lees-Melou,Norwich City,MF,,28,33,27,"2,265",68,1,0,1,0,0,5,0,0.04,0,0.04,1.6,1.6,1.8,0.06,0.07,0.14
Milot Rashica,Norwich City,FW,MF,25,31,25,"2,229",71,1,2,1,0,0,0,0,0.04,0.08,0.12,2.7,2.7,2.6,0.11,0.1,0.21
Brandon Williams,Norwich City,DF,,20,26,23,"2,120",81,0,1,0,0,0,8,0,0,0.04,0.04,0.2,0.2,1.3,0.01,0.05,0.06
Billy Gilmour,Norwich City,MF,,20,24,21,"1,855",77,0,1,0,0,0,2,0,0,0.05,0.05,1,1,2,0.05,0.1,0.14
Mathias Normann,Norwich City,MF,,25,23,20,"1,645",71,1,2,1,0,0,6,0,0.05,0.11,0.16,0.9,0.9,1.8,0.05,0.1,0.15
Josh Sargent,Norwich City,FW,MF,21,26,18,"1,572",60,2,1,2,0,0,1,0,0.11,0.06,0.17,2.7,2.7,0.7,0.16,0.04,0.2
Dimitris Giannoulis,Norwich City,DF,,25,18,14,"1,169",64,0,1,0,0,0,2,0,0,0.08,0.08,0.2,0.2,0.5,0.01,0.04,0.05
Sam Byram,Norwich City,DF,,27,15,11,"1,027",68,0,0,0,0,0,3,0,0,0,0,0.9,0.9,0.2,0.08,0.02,0.1
Ozan Kabak,Norwich City,DF,,21,11,11,922,83,0,0,0,0,0,2,0,0,0,0,0.2,0.2,0,0.02,0,0.02
Kieran Dowell,Norwich City,FW,MF,23,19,11,912,48,1,1,1,0,0,0,0,0.1,0.1,0.2,1.2,1.2,2,0.12,0.2,0.31
Angus Gunn,Norwich City,GK,,25,9,9,810,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lukas Rupp,Norwich City,MF,,30,19,7,769,40,0,0,0,0,0,0,0,0,0,0,0.7,0.7,1.2,0.08,0.14,0.22
Adam Idah,Norwich City,FW,MF,20,17,6,625,36,1,1,1,0,0,0,0,0.14,0.14,0.29,2,2,0.6,0.28,0.09,0.37
Jakob Sørensen,Norwich City,MF,DF,23,10,6,604,60,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.06,0,0.06
Przemys?aw P?acheta,Norwich City,FW,MF,23,12,6,504,42,0,0,0,0,0,1,0,0,0,0,0.5,0.5,0.7,0.1,0.13,0.23
Todd Cantwell,Norwich City,FW,MF,23,8,5,441,55,0,0,0,0,0,2,0,0,0,0,0.2,0.2,0.2,0.03,0.04,0.07
Andrew Omobamidele,Norwich City,DF,,19,5,4,382,76,1,0,1,0,0,1,0,0.24,0,0.24,0.3,0.3,0,0.08,0,0.08
Christos Tzolis,Norwich City,FW,MF,19,14,3,336,24,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.13,0.26,0.38
Christoph Zimmermann,Norwich City,DF,,28,3,2,157,52,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.04,0,0.04
Tony Springett,Norwich City,FW,MF,18,3,1,141,47,0,0,0,0,0,1,0,0,0,0,0.3,0.3,0.4,0.17,0.22,0.4
Jon Rowe,Norwich City,FW,MF,18,13,0,223,17,0,1,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.3,0.16,0.14,0.3
Bali Mumba,Norwich City,DF,,19,1,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Dickson-Peters,Norwich City,FW,,18,0,0,,,,,,,,,,,,,,,,,,
Liam Gibbs,Norwich City,MF,,18,0,0,,,,,,,,,,,,,,,,,,
Abu Kamara,Norwich City,DF,,18,0,0,,,,,,,,,,,,,,,,,,
Jon McCracken,Norwich City,GK,,21,0,0,,,,,,,,,,,,,,,,,,
Michael McGovern,Norwich City,GK,,37,0,0,,,,,,,,,,,,,,,,,,
Jonathan Tomkinson,Norwich City,DF,,19,0,0,,,,,,,,,,,,,,,,,,
James Ward-Prowse,Southampton,MF,,26,36,36,"3,215",89,10,5,6,4,4,3,1,0.28,0.14,0.42,5.4,2.3,6.2,0.15,0.17,0.32
Oriol Romeu,Southampton,MF,,29,36,34,"2,889",80,2,2,2,0,0,9,0,0.06,0.06,0.12,1.3,1.3,2.8,0.04,0.09,0.13
Mohammed Salisu,Southampton,DF,,22,34,33,"2,972",87,0,0,0,0,0,10,1,0,0,0,1.8,1.8,0.5,0.06,0.02,0.07
Jan Bednarek,Southampton,DF,,25,31,30,"2,629",84,4,0,4,0,0,10,0,0.14,0,0.14,2.4,2.4,0.6,0.08,0.02,0.1
Kyle Walker-Peters,Southampton,DF,,24,32,29,"2,633",82,1,2,1,0,0,5,0,0.03,0.07,0.1,1,1,2.9,0.03,0.1,0.13
Valentino Livramento,Southampton,DF,,18,28,25,"2,202",78,1,1,1,0,0,2,0,0.04,0.04,0.08,1.2,1.2,2.3,0.05,0.09,0.14
Mohamed Elyounoussi,Southampton,MF,FW,26,30,23,"2,042",68,4,2,4,0,0,4,0,0.18,0.09,0.26,6,6,2.5,0.26,0.11,0.37
Che Adams,Southampton,FW,,25,30,23,"2,039",67,7,3,7,0,0,0,0,0.31,0.13,0.44,7.1,7.1,2.6,0.31,0.12,0.43
Armando Broja,Southampton,FW,,19,32,21,"1,975",61,6,0,6,0,0,2,0,0.27,0,0.27,7,7,1.3,0.32,0.06,0.38
Nathan Redmond,Southampton,MF,FW,27,27,20,"1,833",67,1,5,1,0,0,0,0,0.05,0.25,0.29,1.9,1.9,4.3,0.09,0.21,0.31
Fraser Forster,Southampton,GK,,33,19,19,"1,710",90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Romain Perraud,Southampton,DF,,23,20,18,"1,623",81,0,1,0,0,0,3,0,0,0.06,0.06,0.9,0.9,0.6,0.05,0.03,0.08
Alex McCarthy,Southampton,GK,,31,17,17,"1,530",90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Adam Armstrong,Southampton,FW,,24,23,17,"1,413",61,2,2,2,0,0,1,0,0.13,0.13,0.25,4.3,4.3,1.7,0.27,0.11,0.38
Stuart Armstrong,Southampton,MF,,29,25,15,"1,473",58,2,0,2,0,0,1,0,0.12,0,0.12,2.8,2.8,1.4,0.17,0.08,0.25
Ibrahima Diallo,Southampton,MF,,22,23,10,"1,023",44,0,2,0,0,0,1,0,0,0.18,0.18,0.5,0.5,1,0.04,0.09,0.13
Nathan Tella,Southampton,MF,FW,22,14,10,804,57,0,1,0,0,0,2,0,0,0.11,0.11,0.5,0.5,0.7,0.06,0.08,0.14
Lyanco,Southampton,DF,,24,15,9,911,60,0,0,0,0,0,2,0,0,0,0,0.2,0.2,0.1,0.02,0.01,0.04
Jack Stephens,Southampton,DF,,27,11,9,811,73,0,0,0,0,0,3,0,0,0,0,0,0,0.3,0,0.03,0.03
Moussa Djenepo,Southampton,MF,,23,12,5,457,38,0,0,0,0,0,3,0,0,0,0,1.5,1.5,0.2,0.3,0.05,0.34
Theo Walcott,Southampton,MF,FW,32,9,5,379,42,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0,0.17,0.01,0.18
Yan Valery,Southampton,DF,,22,5,3,370,74,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.03
Shane Long,Southampton,FW,,34,13,3,308,23,1,0,1,0,0,1,0,0.29,0,0.29,1,1,0.1,0.29,0.03,0.32
Willy Caballero,Southampton,GK,,39,2,2,180,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
William Smallbone,Southampton,MF,FW,21,4,2,133,33,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.05,0.06,0.12
Kgagelo Chauke,Southampton,MF,,18,0,0,,,,,,,,,,,,,,,,,,
Tyler Dibling,Southampton,MF,,,0,0,,,,,,,,,,,,,,,,,,
Harry Lewis,Southampton,GK,,23,0,0,,,,,,,,,,,,,,,,,,
Dynel Simeu,Southampton,DF,,19,0,0,,,,,,,,,,,,,,,,,,
Thierry Small,Southampton,DF,,16,0,0,,,,,,,,,,,,,,,,,,
Hugo Lloris,Tottenham Hotspur,GK,,34,38,38,"3,420",90,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0,0.01,0.01
Harry Kane,Tottenham Hotspur,FW,,28,37,36,"3,232",87,17,9,13,4,4,5,0,0.47,0.25,0.72,20.1,17.1,9,0.56,0.25,0.81
Pierre Højbjerg,Tottenham Hotspur,MF,,25,36,36,"3,196",88,2,2,2,0,0,3,0,0.06,0.06,0.11,2,2,2.5,0.06,0.07,0.13
Eric Dier,Tottenham Hotspur,DF,,27,35,35,"3,071",87,0,0,0,0,0,1,0,0,0,0,1,1,1.4,0.03,0.04,0.07
Son Heung-min,Tottenham Hotspur,FW,MF,29,35,35,"3,006",85,23,7,23,0,0,2,0,0.69,0.21,0.9,16.4,16.4,8.1,0.49,0.24,0.73
Ben Davies,Tottenham Hotspur,DF,,28,29,28,"2,538",87,1,1,1,0,0,6,0,0.04,0.04,0.07,1.8,1.8,0.6,0.06,0.02,0.08
Emerson,Tottenham Hotspur,DF,,22,31,26,"2,286",73,1,1,1,0,0,5,0,0.04,0.04,0.08,1.5,1.5,2.1,0.06,0.08,0.14
Sergio Reguilón,Tottenham Hotspur,DF,,24,25,22,"1,916",76,2,3,2,0,0,4,0,0.09,0.14,0.23,3,3,4,0.14,0.19,0.33
Cristian Romero,Tottenham Hotspur,DF,,23,22,21,"1,844",83,1,0,1,0,0,8,0,0.05,0,0.05,0.7,0.7,0.5,0.03,0.02,0.05
Lucas Moura,Tottenham Hotspur,FW,MF,28,34,19,"1,775",52,2,6,2,0,0,4,0,0.1,0.3,0.41,3.7,3.7,4.4,0.19,0.23,0.41
Davinson Sánchez,Tottenham Hotspur,DF,,25,23,17,"1,631",70,2,0,2,0,0,4,0,0.11,0,0.11,2.1,2.1,0.4,0.11,0.02,0.14
Rodrigo Bentancur,Tottenham Hotspur,MF,,24,17,16,"1,361",80,0,4,0,0,0,5,0,0,0.26,0.26,0.9,0.9,2.3,0.06,0.15,0.21
Oliver Skipp,Tottenham Hotspur,MF,,20,18,14,"1,350",75,0,0,0,0,0,6,0,0,0,0,0.2,0.2,0.9,0.01,0.06,0.07
Dejan Kulusevski,Tottenham Hotspur,MF,FW,21,18,14,"1,261",70,5,8,5,0,0,3,0,0.36,0.57,0.93,3.4,3.4,3.5,0.24,0.25,0.5
Ryan Sessegnon,Tottenham Hotspur,DF,,21,15,13,"1,047",69,0,2,0,0,0,2,0,0,0.17,0.17,0.4,0.4,2.9,0.03,0.25,0.28
Japhet Tanganga,Tottenham Hotspur,DF,,22,11,10,735,66,0,0,0,0,0,4,1,0,0,0,0.4,0.4,0.4,0.05,0.05,0.09
Harry Winks,Tottenham Hotspur,MF,,25,19,9,912,48,0,1,0,0,0,2,0,0,0.1,0.1,0.1,0.1,1.5,0.01,0.15,0.16
Matt Doherty,Tottenham Hotspur,DF,,29,15,9,875,58,2,4,2,0,0,0,0,0.21,0.41,0.62,2.5,2.5,1.8,0.26,0.18,0.44
Dele Alli,Tottenham Hotspur,MF,FW,25,10,8,657,65,1,0,0,1,1,1,0,0.14,0,0.14,1.5,0.7,0.8,0.2,0.11,0.31
Tanguy Ndombele,Tottenham Hotspur,MF,,24,9,6,484,53,1,1,1,0,0,1,0,0.19,0.19,0.37,0.5,0.5,0.4,0.09,0.07,0.16
Steven Bergwijn,Tottenham Hotspur,FW,MF,23,25,4,565,22,3,1,3,0,0,1,0,0.48,0.16,0.64,3.1,3.1,0.7,0.49,0.11,0.59
Giovani Lo Celso,Tottenham Hotspur,MF,FW,25,9,2,238,26,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.6,0.28,0.24,0.52
Bryan,Tottenham Hotspur,FW,MF,20,9,0,94,10,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.03,0.07,0.1
Joe Rodon,Tottenham Hotspur,DF,,23,3,0,89,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dane Scarlett,Tottenham Hotspur,MF,,17,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Austin,Tottenham Hotspur,GK,,22,0,0,,,,,,,,,,,,,,,,,,
Jamie Bowden,Tottenham Hotspur,MF,,20,0,0,,,,,,,,,,,,,,,,,,
Matthew Craig,Tottenham Hotspur,MF,,18,0,0,,,,,,,,,,,,,,,,,,
Alfie Devine,Tottenham Hotspur,MF,,16,0,0,,,,,,,,,,,,,,,,,,
Pierluigi Gollini,Tottenham Hotspur,GK,,26,0,0,,,,,,,,,,,,,,,,,,
Marcel Lavinier,Tottenham Hotspur,DF,,20,0,0,,,,,,,,,,,,,,,,,,
Dilan Markanday,Tottenham Hotspur,FW,MF,19,0,0,,,,,,,,,,,,,,,,,,
Tobi Omole,Tottenham Hotspur,DF,,21,0,0,,,,,,,,,,,,,,,,,,
Moussa Sissoko,Tottenham Hotspur,MF,,31,0,0,,,,,,,,,,,,,,,,,,
Harvey White,Tottenham Hotspur,MF,,19,0,0,,,,,,,,,,,,,,,,,,
Moussa Sissoko,Watford,MF,,31,36,36,"3,220",89,2,1,2,0,0,5,0,0.06,0.03,0.08,3.4,3.4,2.8,0.1,0.08,0.17
Emmanuel Dennis,Watford,FW,MF,23,33,30,"2,581",78,10,6,10,0,0,9,1,0.35,0.21,0.56,7.5,7.5,3.2,0.26,0.11,0.37
Craig Cathcart,Watford,DF,,32,31,27,"2,396",77,0,1,0,0,0,3,0,0,0.04,0.04,0.1,0.1,0.3,0,0.01,0.02
