Player,Team,Pos,Pos2,Age,Matches ,Starts,Min,Min per match,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G per 90,A per 90,G+A,xG,npxG,xA,xG,xA,xG+xA
Jakub Moder,Brighton & Hove Albion,MF,FW,22,28,19,"1,701",60,0,3,0,0,0,1,0,0,0.16,0.16,2.4,2.4,1.7,0.13,0.09,0.22
Adam Lallana,Brighton & Hove Albion,MF,,33,24,18,"1,561",65,0,1,0,0,0,4,0,0,0.06,0.06,1.2,1.2,0.7,0.07,0.04,0.11
Solly March,Brighton & Hove Albion,DF,FW,27,31,17,"1,746",56,0,2,0,0,0,1,0,0,0.1,0.1,1.5,1.5,2.7,0.08,0.14,0.22
Tariq Lamptey,Brighton & Hove Albion,DF,FW,20,30,16,"1,561",52,0,2,0,0,0,4,0,0,0.12,0.12,0.8,0.8,2.2,0.05,0.13,0.17
Adam Webster,Brighton & Hove Albion,DF,,26,22,16,"1,434",65,2,0,2,0,0,5,0,0.13,0,0.13,1.1,1.1,0.1,0.07,0,0.08
Danny Welbeck,Brighton & Hove Albion,FW,,30,25,15,"1,478",59,6,2,6,0,0,0,0,0.37,0.12,0.49,6.1,6.1,1,0.37,0.06,0.44
Shane Duffy,Brighton & Hove Albion,DF,,29,18,15,"1,436",79,1,0,1,0,0,7,0,0.06,0,0.06,1.3,1.3,0.1,0.08,0.01,0.09
Dan Burn,Brighton & Hove Albion,DF,,29,13,12,"1,022",78,1,0,1,0,0,4,0,0.09,0,0.09,1.3,1.3,0,0.11,0,0.12
Enock Mwepu,Brighton & Hove Albion,MF,FW,23,18,12,996,55,2,4,2,0,0,2,0,0.18,0.36,0.54,1.9,1.9,1.4,0.17,0.12,0.29
Moisés Caicedo,Brighton & Hove Albion,MF,,19,8,8,660,82,1,1,1,0,0,2,0,0.14,0.14,0.27,0.8,0.8,0.4,0.1,0.05,0.16
Steven Alzate,Brighton & Hove Albion,MF,,22,9,5,404,44,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.02,0.04,0.06
Aaron Connolly,Brighton & Hove Albion,FW,,21,4,1,156,39,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.26,0.2,0.47
